id,name,html_url,forks,stars,size,language,watchers,pull_requests,contributors,commits
55811902,PacMan,https://github.com/MadhuriMotoori/PacMan,1,0,200,Java,https://api.github.com/repos/MadhuriMotoori/PacMan/contributors,2,0,-1,9
44415974,pachooks,https://github.com/andrewgregory/pachooks,8,28,20,Shell,https://api.github.com/repos/andrewgregory/pachooks/contributors,6,6,-1,20
14206508,jpacman-framework,https://github.com/SERG-Delft/jpacman-framework,60,18,1841,Java,https://api.github.com/repos/SERG-Delft/jpacman-framework/contributors,8,2,-1,215
8344476,octopi,https://github.com/aarnt/octopi,31,110,8152,C++,https://api.github.com/repos/aarnt/octopi/contributors,13,1,16,1
15936780,yaourt,https://github.com/archlinuxfr/yaourt,54,316,1733,Shell,https://api.github.com/repos/archlinuxfr/yaourt/contributors,27,3,34,688
26094728,multipac,https://github.com/hdgarrood/multipac,3,15,231,PureScript,https://api.github.com/repos/hdgarrood/multipac/contributors,4,0,-1,251
1052671,pacapt,https://github.com/icy/pacapt,33,271,296,Shell,https://api.github.com/repos/icy/pacapt/contributors,21,0,16,412
40767271,pacmacs.el,https://github.com/codingteam/pacmacs.el,4,34,475,Emacs Lisp,https://api.github.com/repos/codingteam/pacmacs.el/contributors,7,0,4,466
17716945,jacman,https://github.com/wuchong/jacman,270,506,5412,CSS,https://api.github.com/repos/wuchong/jacman/contributors,40,2,-1,163
10960514,Carrera_pacman,https://github.com/CesarGN/Carrera_pacman,7,0,268,Java,https://api.github.com/repos/CesarGN/Carrera_pacman/contributors,25,1,-1,53
8711447,pacman-cljs,https://github.com/newsomc/pacman-cljs,1,42,1055,JavaScript,https://api.github.com/repos/newsomc/pacman-cljs/contributors,4,0,-1,146
9528743,Javascript-Pacman,https://github.com/bxia/Javascript-Pacman,5,8,103,JavaScript,https://api.github.com/repos/bxia/Javascript-Pacman/contributors,2,0,-1,1
53090421,not-pacman,https://github.com/ENG7006/not-pacman,12,0,249,JavaScript,https://api.github.com/repos/ENG7006/not-pacman/contributors,1,10,-1,3
8652331,PacMan-AI,https://github.com/jcarrillo7/PacMan-AI,10,7,448,Python,https://api.github.com/repos/jcarrillo7/PacMan-AI/contributors,2,0,1,4
21894678,Angry-PacMan,https://github.com/Dageron/Angry-PacMan,5,8,5218,C#,https://api.github.com/repos/Dageron/Angry-PacMan/contributors,3,0,-1,6
18753205,2014-PacMan-TestHarness,https://github.com/EntelectChallenge/2014-PacMan-TestHarness,13,11,2859,C#,https://api.github.com/repos/EntelectChallenge/2014-PacMan-TestHarness/contributors,8,1,-1,76
2611345,OPAcman,https://github.com/HenJi/OPAcman,5,12,119,,https://api.github.com/repos/HenJi/OPAcman/contributors,1,0,-1,32
13824647,PacMan-IS12,https://github.com/T1mo18/PacMan-IS12,3,5,358,Python,https://api.github.com/repos/T1mo18/PacMan-IS12/contributors,16,0,-1,64
12117957,libgdx-pacman,https://github.com/simondid/libgdx-pacman,6,4,173656,Logos,https://api.github.com/repos/simondid/libgdx-pacman/contributors,2,0,-1,3
5007584,jpacman-framework-v5,https://github.com/avandeursen/jpacman-framework-v5,25,11,351,Java,https://api.github.com/repos/avandeursen/jpacman-framework-v5/contributors,2,0,-1,91
1193838,aurget,https://github.com/pbrisbin/aurget,12,47,325,Shell,https://api.github.com/repos/pbrisbin/aurget/contributors,3,0,-1,261
54326901,hugo-pacman-theme,https://github.com/coderzh/hugo-pacman-theme,5,7,4317,CSS,https://api.github.com/repos/coderzh/hugo-pacman-theme/contributors,2,0,-1,16
1191089,pacman_server,https://github.com/knutin/pacman_server,3,5,199,Erlang,https://api.github.com/repos/knutin/pacman_server/contributors,3,0,-1,24
7595030,montecarlo-pacman,https://github.com/stewartml/montecarlo-pacman,4,8,1876,Java,https://api.github.com/repos/stewartml/montecarlo-pacman/contributors,3,0,-1,2
18752967,2014-PacMan-SampleBot-Java,https://github.com/EntelectChallenge/2014-PacMan-SampleBot-Java,9,12,254,Java,https://api.github.com/repos/EntelectChallenge/2014-PacMan-SampleBot-Java/contributors,8,0,4,7
11014333,Pacman,https://github.com/edoren/Pacman,1,3,2272,C++,https://api.github.com/repos/edoren/Pacman/contributors,2,0,-1,142
4649397,Pacman,https://github.com/BullPaf/Pacman,0,2,736,C,https://api.github.com/repos/BullPaf/Pacman/contributors,1,0,-1,86
4034290,Pacman,https://github.com/peterlech/Pacman,1,2,197,,https://api.github.com/repos/peterlech/Pacman/contributors,2,2,-1,5
837253,Pacman,https://github.com/naoyamakino/Pacman,0,2,1288,Ruby,https://api.github.com/repos/naoyamakino/Pacman/contributors,1,0,-1,1
20801558,PACMAN,https://github.com/SpiNNakerManchester/PACMAN,1,2,1666,Python,https://api.github.com/repos/SpiNNakerManchester/PACMAN/contributors,15,2,-1,735
11014333,Pacman,https://github.com/edoren/Pacman,1,3,2272,C++,https://api.github.com/repos/edoren/Pacman/contributors,2,0,-1,142
4649397,Pacman,https://github.com/BullPaf/Pacman,0,2,736,C,https://api.github.com/repos/BullPaf/Pacman/contributors,1,0,-1,86
4034290,Pacman,https://github.com/peterlech/Pacman,1,2,197,,https://api.github.com/repos/peterlech/Pacman/contributors,2,2,-1,5
837253,Pacman,https://github.com/naoyamakino/Pacman,0,2,1288,Ruby,https://api.github.com/repos/naoyamakino/Pacman/contributors,1,0,-1,1
50409336,pacman,https://github.com/mehr74/pacman,0,3,1671,C++,https://api.github.com/repos/mehr74/pacman/contributors,3,0,-1,18
1193129,pacman,https://github.com/optixx/pacman,0,3,283,VHDL,https://api.github.com/repos/optixx/pacman/contributors,1,0,-1,5
7012932,Pacman,https://github.com/Joncom/Pacman,0,2,256,,https://api.github.com/repos/Joncom/Pacman/contributors,1,0,-1,23
9413522,pacman,https://github.com/wsky/pacman,0,3,796,Java,https://api.github.com/repos/wsky/pacman/contributors,2,0,-1,135
4306214,PacMan,https://github.com/irpap/PacMan,1,3,146,Dart,https://api.github.com/repos/irpap/PacMan/contributors,4,0,-1,23
4254076,Pacman,https://github.com/KostoloM211/Pacman,0,2,96,C++,https://api.github.com/repos/KostoloM211/Pacman/contributors,1,0,-1,3
3786253,pacman,https://github.com/metaloph1l/pacman,1,2,844,Java,https://api.github.com/repos/metaloph1l/pacman/contributors,4,0,-1,108
3721319,Pacman,https://github.com/Zathki/Pacman,2,3,430,Turing,https://api.github.com/repos/Zathki/Pacman/contributors,1,0,-1,2
369156,pacman,https://github.com/lagenar/pacman,0,2,4666,C,https://api.github.com/repos/lagenar/pacman/contributors,3,0,-1,43
1477418,pacman,https://github.com/terralinux/pacman,0,2,1851,C,https://api.github.com/repos/terralinux/pacman/contributors,2,0,-1,11
18834952,pacman,https://github.com/TheSLinux-forks/pacman,1,2,13564,C,https://api.github.com/repos/TheSLinux-forks/pacman/contributors,2,0,-1,5
28780302,pacman,https://github.com/mmanshanden/pacman,0,2,9022,C#,https://api.github.com/repos/mmanshanden/pacman/contributors,4,0,-1,346
36049051,pacman,https://github.com/rfrm/pacman,0,3,2504,Java,https://api.github.com/repos/rfrm/pacman/contributors,1,0,-1,9
40052467,pacman,https://github.com/mojoboss/pacman,1,2,900,Python,https://api.github.com/repos/mojoboss/pacman/contributors,1,0,-1,65
31139216,pacman,https://github.com/kghandhi/pacman,1,3,1337,Elm,https://api.github.com/repos/kghandhi/pacman/contributors,2,0,-1,77
33211271,pacman,https://github.com/ebuc99/pacman,1,3,3134,Shell,https://api.github.com/repos/ebuc99/pacman/contributors,3,0,-1,246
3154594,PacMan,https://github.com/DuncanSin/PacMan,1,2,2052,Java,https://api.github.com/repos/DuncanSin/PacMan/contributors,2,0,-1,18
27557988,pacman,https://github.com/lucianot/pacman,0,2,300,Ruby,https://api.github.com/repos/lucianot/pacman/contributors,1,1,-1,21
24500835,pacman,https://github.com/mitran/pacman,0,2,316,Java,https://api.github.com/repos/mitran/pacman/contributors,1,0,-1,15
45825681,PacMan,https://github.com/Stenkrona/PacMan,1,2,0,C#,https://api.github.com/repos/Stenkrona/PacMan/contributors,6,1,-1,9
39220672,Pacman,https://github.com/suprgyabhushan/Pacman,0,3,188,C,https://api.github.com/repos/suprgyabhushan/Pacman/contributors,1,0,-1,26
1504653,PACMANS,https://github.com/wmalik/PACMANS,2,3,5222,C#,https://api.github.com/repos/wmalik/PACMANS/contributors,3,0,-1,69
2760996,owlman,https://github.com/baskerville/owlman,3,19,649,Shell,https://api.github.com/repos/baskerville/owlman/contributors,2,0,-1,203
6256388,PTAM-Windows,https://github.com/LucRyan/PTAM-Windows,12,2,85881,C++,https://api.github.com/repos/LucRyan/PTAM-Windows/contributors,0,0,-1,2
2235442,smart-pacman,https://github.com/blackthorne/smart-pacman,2,3,91,Prolog,https://api.github.com/repos/blackthorne/smart-pacman/contributors,1,0,-1,1
28147143,cd_pacman_basic,https://github.com/Paz23/cd_pacman_basic,6,1,134,,https://api.github.com/repos/Paz23/cd_pacman_basic/contributors,1,0,-1,1
50652460,Pacman-Arduino-Due,https://github.com/DrNCXCortex/Pacman-Arduino-Due,3,12,13557,C,https://api.github.com/repos/DrNCXCortex/Pacman-Arduino-Due/contributors,5,0,-1,14
12037350,pacman-cocos2d-ios,https://github.com/javierquevedo/pacman-cocos2d-ios,4,12,2138,Objective-C,https://api.github.com/repos/javierquevedo/pacman-cocos2d-ios/contributors,4,0,-1,11
13674690,motivational_pacman,https://github.com/cnt000/motivational_pacman,2,4,1882,JavaScript,https://api.github.com/repos/cnt000/motivational_pacman/contributors,1,0,-1,34
2551300,qt-google-pacman,https://github.com/anak10thn/qt-google-pacman,3,4,260,,https://api.github.com/repos/anak10thn/qt-google-pacman/contributors,1,0,-1,2
16697935,pacman-for-firefox-os,https://github.com/KvnOnWeb/pacman-for-firefox-os,7,2,1986,JavaScript,https://api.github.com/repos/KvnOnWeb/pacman-for-firefox-os/contributors,4,0,-1,46
680773,google_pacman,https://github.com/thenick/google_pacman,2,3,283,JavaScript,https://api.github.com/repos/thenick/google_pacman/contributors,3,0,-1,1
3085133,AI-Pacman,https://github.com/iveygman/AI-Pacman,3,3,496,Python,https://api.github.com/repos/iveygman/AI-Pacman/contributors,1,0,-1,3
44199929,IIC2613-pacman,https://github.com/Dietr1ch/IIC2613-pacman,5,0,1936,Java,https://api.github.com/repos/Dietr1ch/IIC2613-pacman/contributors,1,0,-1,23
