id,name,html_url,forks,stars,size,language
3154594,PacMan,https://github.com/DuncanSin/PacMan,1,2,2052,Java
27557988,pacman,https://github.com/lucianot/pacman,0,2,300,Ruby
24500835,pacman,https://github.com/mitran/pacman,0,2,316,Java
45825681,PacMan,https://github.com/Stenkrona/PacMan,1,2,0,C#
39220672,Pacman,https://github.com/suprgyabhushan/Pacman,0,3,188,C
1504653,PACMANS,https://github.com/wmalik/PACMANS,2,3,5222,C#
6256388,PTAM-Windows,https://github.com/LucRyan/PTAM-Windows,12,2,85881,C++
2760996,owlman,https://github.com/baskerville/owlman,3,19,649,Shell
2235442,smart-pacman,https://github.com/blackthorne/smart-pacman,2,3,91,Prolog
28147143,cd_pacman_basic,https://github.com/Paz23/cd_pacman_basic,6,1,134,
50652460,Pacman-Arduino-Due,https://github.com/DrNCXCortex/Pacman-Arduino-Due,3,12,13557,C
12037350,pacman-cocos2d-ios,https://github.com/javierquevedo/pacman-cocos2d-ios,4,12,2138,Objective-C
13674690,motivational_pacman,https://github.com/cnt000/motivational_pacman,2,4,1882,JavaScript
2551300,qt-google-pacman,https://github.com/anak10thn/qt-google-pacman,3,4,260,
16697935,pacman-for-firefox-os,https://github.com/KvnOnWeb/pacman-for-firefox-os,7,2,1986,JavaScript
680773,google_pacman,https://github.com/thenick/google_pacman,2,3,283,JavaScript
3085133,AI-Pacman,https://github.com/iveygman/AI-Pacman,3,3,496,Python
44199929,IIC2613-pacman,https://github.com/Dietr1ch/IIC2613-pacman,5,0,1936,Java
12089111,pacman-osx-pkgs,https://github.com/kladd/pacman-osx-pkgs,4,7,284,Shell
9902456,cs56-games-pacman,https://github.com/UCSB-CS56-Projects/cs56-games-pacman,9,0,584,Java
32274009,assembly-pacman,https://github.com/mkhatib/assembly-pacman,2,4,148,Assembly
8004927,Pacman,https://github.com/yl10030270/Pacman,0,0,192,Java
8681241,PacMan,https://github.com/JayBazuzi/PacMan,0,0,20,C#
8826028,pacman,https://github.com/yogishadixit/pacman,0,0,3092,
9796386,pacman,https://github.com/BettinaMigot/pacman,0,0,56,
10005235,pacman,https://github.com/richje71/pacman,0,0,108,Java
9128242,PacMan,https://github.com/ramezdebbas/PacMan,0,0,1100,
7628698,Pacman,https://github.com/iananass/Pacman,0,0,116,C++
7498312,Pacman,https://github.com/nangko/Pacman,0,0,978,PHP
10744413,Pacman,https://github.com/jasonycw/Pacman,0,0,140,C++
11576165,pacman,https://github.com/praqma-test/pacman,0,0,112,
8414014,pacman,https://github.com/Windsdon/pacman,0,0,108,Java
8918093,PacMan,https://github.com/clshores/PacMan,0,0,104,
9610798,PacMan,https://github.com/PeterEss/PacMan,0,0,104,JavaScript
16243387,pacman,https://github.com/AktionLab/pacman,0,0,148,Ruby
16129120,Pacman,https://github.com/josuf107/Pacman,0,0,280,Haskell
16030152,pacman,https://github.com/danielfdzperez/pacman,0,1,240,C++
16019760,pacman,https://github.com/gizwhu/pacman,0,0,128,Java
16029457,PacMan,https://github.com/bill-bradley/PacMan,0,0,332,C++
16417146,Pacman,https://github.com/mtthp/Pacman,0,0,2416,Java
16388475,Pacman,https://github.com/rucker21/Pacman,0,0,140,CSS
16433904,Pacman,https://github.com/JockeBTH/Pacman,0,0,104,C++
13181949,PacMan,https://github.com/jgacitua/PacMan,0,0,1752,Java
13702474,pacman,https://github.com/13joe/pacman,0,0,100,
12872954,pacman,https://github.com/cpd85/pacman,0,0,288,
13104337,PacMan,https://github.com/kanpu3ylja/PacMan,0,0,1332,
12325247,Pacman,https://github.com/poi519/Pacman,0,1,280,Java
13130228,Pacman,https://github.com/leahpar/Pacman,0,0,828,C++
13990688,PacMan,https://github.com/siggika/PacMan,0,0,1152,JavaScript
14332155,Pacman,https://github.com/jluce1996/Pacman,0,0,108,
13810429,PacMan,https://github.com/eazama/PacMan,0,0,116636,Java
15268741,Pacman,https://github.com/AlexanderMladenov/Pacman,0,0,18208,C
15342708,pacman,https://github.com/gautierm/pacman,0,0,108,
15820222,pacman,https://github.com/shagunakarsh/pacman,0,0,6240,C
14680889,Pacman,https://github.com/AntonioNP/Pacman,0,0,456,CSS
14892699,Pacman,https://github.com/EnriqueGimeno/Pacman,0,0,132,
12462074,pacman,https://github.com/sra448/pacman,0,0,1840,CoffeeScript
3799152,PacMan,https://github.com/renato-scaroni/PacMan,0,1,14200,C++
4572121,pacman,https://github.com/vodik/pacman,0,1,11648,C
6751140,pacman,https://github.com/aboritskiy/pacman,1,0,2276,Java
7015854,Pacman,https://github.com/justforassignment/Pacman,0,0,100,
6867467,Pacman,https://github.com/prShadoko/Pacman,0,1,3204,C#
3285361,pacman,https://github.com/avrum75/pacman,0,1,720,JavaScript
3598317,pacman,https://github.com/towski/pacman,0,1,204,Ruby
4069357,pacman,https://github.com/burntcookie90/pacman,0,1,1992,
4233639,pacman,https://github.com/satansdeer/pacman,0,1,12756,ActionScript
4124421,PacMan,https://github.com/hackberd/PacMan,0,1,88,Java
5521247,Pacman,https://github.com/ThomasWedler/Pacman,1,0,90680,Java
6590264,pacman,https://github.com/luckysource/pacman,0,1,120,Java
7223103,Pacman,https://github.com/adchilds/Pacman,0,0,272,Java
1344729,pacman,https://github.com/justy/pacman,0,1,159,Ruby
835996,Pacman,https://github.com/psde/Pacman,0,1,112,C++
2483469,Pacman,https://github.com/chrb22/Pacman,0,1,128,JavaScript
17321231,pacman,https://github.com/metallifan666/pacman,0,0,0,
17293482,PacMan,https://github.com/Iti4B/PacMan,0,0,108,Objective-C
17397988,PacMan,https://github.com/JVieraLedo/PacMan,0,0,572,C++
17384175,Pacman,https://github.com/ayousufi/Pacman,0,0,184,Java
17576204,pacman,https://github.com/JordanBrion/pacman,0,1,1184,C++
29742085,Pacman,https://github.com/cberke/Pacman,2,0,2240,Java
31561278,PacMan,https://github.com/SophieOps/PacMan,0,0,9440,HTML
31784563,PacMan,https://github.com/philippeehlert/PacMan,0,0,108,Java
31768062,pacman,https://github.com/Infernosquad/pacman,0,0,0,
31725313,PacMan,https://github.com/Draknel/PacMan,0,0,0,
31725043,PacMan,https://github.com/teresa1/PacMan,0,0,0,
31769524,Pacman,https://github.com/JoarGjersund/Pacman,0,0,136,Java
28067693,PacMan,https://github.com/edanan/PacMan,0,0,0,
32283654,pacman,https://github.com/denzp/pacman,0,0,2540,JavaScript
17109021,PacMan,https://github.com/Team-Quagga/PacMan,0,0,6468,C
17212165,pacman,https://github.com/unit-Pacman-G4/pacman,0,0,8808,ASP
17365955,pacman,https://github.com/anthony1810/pacman,0,0,1252,TeX
17423789,Pacman,https://github.com/hungly/Pacman,0,0,2108,TeX
15098194,pacman,https://github.com/fqassem/pacman,0,0,200,C++
14332116,Pacman,https://github.com/hubbercraft/Pacman,0,0,100,C#
14816980,pacman,https://github.com/guideX/pacman,0,0,260,Visual Basic
15128408,PacMan,https://github.com/Naillik1/PacMan,0,0,112,Java
15237083,Pacman,https://github.com/joakim1999/Pacman,0,0,148,Java
15771969,PacMan,https://github.com/JacobSchwartzSoerensen/PacMan,0,0,208,Java
15945621,Pacman,https://github.com/bugflux/Pacman,0,0,342,Java
14069539,Pacman,https://github.com/prog76/Pacman,0,0,8640,C#
17589245,pacman,https://github.com/Svetixbot/pacman,0,1,176,Ruby
17627994,pacman,https://github.com/planeroreyes/pacman,0,0,0,
18339032,pacman,https://github.com/laurita/pacman,0,1,200,Scala
18389422,pacman,https://github.com/vhawley/pacman,0,0,188,C
18212632,pacman,https://github.com/foliveira/pacman,0,0,280,C++
14391133,PacMan,https://github.com/trolleyyy/PacMan,0,0,3908,Java
14756037,Pacman,https://github.com/gsrgovi05/Pacman,0,0,56,
14779162,pacman,https://github.com/philippwinter/pacman,0,0,6512,Java
17805592,pacman,https://github.com/Boilerjuan/pacman,0,0,0,
17713055,Pacman,https://github.com/nrome/Pacman,0,1,560,ActionScript
