id,name,html_url,forks,stars,size,language,url,created_at,watchers,pull_requests,commits
35499600,2048,https://github.com/pgdd/2048,0,0,780,CoffeeScript,https://api.github.com/repos/pgdd/2048,2015-05-12T16:28:01Z,1,0,9
35526726,2048,https://github.com/esalinas00/2048,0,0,200,JavaScript,https://api.github.com/repos/esalinas00/2048,2015-05-13T03:43:17Z,1,0,19
37935597,2048,https://github.com/cmtptr/2048,0,0,128,C,https://api.github.com/repos/cmtptr/2048,2015-06-23T18:00:16Z,1,0,4
37692098,2048,https://github.com/wbecher/2048,0,0,808,CSS,https://api.github.com/repos/wbecher/2048,2015-06-19T00:04:06Z,1,0,157
37553940,2048,https://github.com/Jacob-Hop/2048,0,0,148,JavaScript,https://api.github.com/repos/Jacob-Hop/2048,2015-06-16T20:22:05Z,1,0,5
39950044,2048,https://github.com/cjury2006/2048,0,0,0,,https://api.github.com/repos/cjury2006/2048,2015-07-30T12:45:00Z,1,0,-1
38100178,2048,https://github.com/wananpxh/2048,0,0,0,,https://api.github.com/repos/wananpxh/2048,2015-06-26T08:35:02Z,1,0,-1
38130050,2048,https://github.com/ITABCi/2048,0,0,0,,https://api.github.com/repos/ITABCi/2048,2015-06-26T19:37:01Z,1,0,-1
41050095,2048,https://github.com/davisnguyen111195/2048,0,0,0,,https://api.github.com/repos/davisnguyen111195/2048,2015-08-19T17:44:58Z,1,0,-1
41101612,2048,https://github.com/suchuanpao/2048,0,0,156,C,https://api.github.com/repos/suchuanpao/2048,2015-08-20T14:52:40Z,1,0,2
41064898,2048,https://github.com/GDKennell/2048,0,0,476,C++,https://api.github.com/repos/GDKennell/2048,2015-08-19T23:34:27Z,1,0,56
41951381,2048,https://github.com/daix6/2048,0,0,376,JavaScript,https://api.github.com/repos/daix6/2048,2015-09-05T06:18:46Z,1,0,19
34641293,2048,https://github.com/mukhled/2048,0,0,0,,https://api.github.com/repos/mukhled/2048,2015-04-27T02:17:07Z,0,0,-1
34808140,2048,https://github.com/k-giardchase/2048,0,0,348,CSS,https://api.github.com/repos/k-giardchase/2048,2015-04-29T17:34:00Z,1,0,8
34769111,2048,https://github.com/andreseri/2048,0,0,148,JavaScript,https://api.github.com/repos/andreseri/2048,2015-04-29T02:58:35Z,1,0,6
36348626,2048,https://github.com/z080320/2048,0,0,116,JavaScript,https://api.github.com/repos/z080320/2048,2015-05-27T06:44:45Z,1,0,2
36470923,2048,https://github.com/perfectgait/2048,0,0,132,Python,https://api.github.com/repos/perfectgait/2048,2015-05-28T23:04:50Z,1,0,5
36484638,2048,https://github.com/monological/2048,0,0,372,Objective-C,https://api.github.com/repos/monological/2048,2015-05-29T05:47:42Z,1,0,5
33743679,2048,https://github.com/thiensonho/2048,0,0,132,Java,https://api.github.com/repos/thiensonho/2048,2015-04-10T18:17:50Z,1,0,1
