id,name,html_url,forks,stars,size,language,url,created_at,watchers,pull_requests,commits
26204260,Dijkstras,https://github.com/JustinSchaeffer/Dijkstras,0,0,0,,https://api.github.com/repos/JustinSchaeffer/Dijkstras,2014-11-05T05:12:02Z,1,0,1
21129315,dijkstracoin,https://github.com/Dijkstracoin/dijkstracoin,0,0,2452,C++,https://api.github.com/repos/Dijkstracoin/dijkstracoin,2014-06-23T14:30:13Z,1,0,8
21331688,Dijkstras,https://github.com/jnels124/Dijkstras,0,0,128,Java,https://api.github.com/repos/jnels124/Dijkstras,2014-06-29T20:31:00Z,0,0,2
31517614,dijkstras,https://github.com/tymicruz/dijkstras,0,0,0,,https://api.github.com/repos/tymicruz/dijkstras,2015-03-02T01:09:47Z,1,0,-1
41286375,dijkstrajl,https://github.com/adamjvr/dijkstrajl,0,0,120,,https://api.github.com/repos/adamjvr/dijkstrajl,2015-08-24T06:31:29Z,1,0,1
33276311,dijkstrasdungeon,https://github.com/mbrich/dijkstrasdungeon,0,0,132,Python,https://api.github.com/repos/mbrich/dijkstrasdungeon,2015-04-01T22:27:25Z,2,0,9
45083376,dijkstras,https://github.com/baldwmic/dijkstras,0,1,874,Scala,https://api.github.com/repos/baldwmic/dijkstras,2015-10-28T02:22:48Z,1,0,2
57383952,dijkstras,https://github.com/jhallen978/dijkstras,0,0,3,Python,https://api.github.com/repos/jhallen978/dijkstras,2016-04-29T12:56:22Z,1,0,3
14713662,Dijkstra-Street-Mapping,https://github.com/fhinson/Dijkstra-Street-Mapping,0,2,156,Java,https://api.github.com/repos/fhinson/Dijkstra-Street-Mapping,2013-11-26T10:22:24Z,1,0,6
12955387,dijkstra-shunting-yard,https://github.com/eriksank/dijkstra-shunting-yard,0,2,136,Shell,https://api.github.com/repos/eriksank/dijkstra-shunting-yard,2013-09-19T18:00:43Z,2,0,4
12773166,Graph-AdjList-Dijkstra,https://github.com/crazykeyboard/Graph-AdjList-Dijkstra,2,1,156,C++,https://api.github.com/repos/crazykeyboard/Graph-AdjList-Dijkstra,2013-09-12T02:31:35Z,1,0,6
38309693,Dijkstra-s-algorithm,https://github.com/PHPAlgorithms/Dijkstra-s-algorithm,0,2,74,PHP,https://api.github.com/repos/PHPAlgorithms/Dijkstra-s-algorithm,2015-06-30T13:06:53Z,1,0,86
6054160,Calculator-for-Android,https://github.com/Digipom/Calculator-for-Android,14,9,155,Java,https://api.github.com/repos/Digipom/Calculator-for-Android,2012-10-03T01:39:58Z,4,0,2
36335290,graph_algorithm,https://github.com/muzixing/graph_algorithm,3,1,108,Python,https://api.github.com/repos/muzixing/graph_algorithm,2015-05-27T01:40:14Z,2,0,6
23735261,OpenCL_Sample,https://github.com/lishicao/OpenCL_Sample,0,3,4876,C++,https://api.github.com/repos/lishicao/OpenCL_Sample,2014-09-06T13:35:25Z,1,0,9
243642,erl_dijk,https://github.com/saketkunwar/erl_dijk,2,3,89,Erlang,https://api.github.com/repos/saketkunwar/erl_dijk,2009-07-05T14:19:04Z,2,0,2
12639246,beijing-subway,https://github.com/wuleying/beijing-subway,0,4,212,,https://api.github.com/repos/wuleying/beijing-subway,2013-09-06T08:15:36Z,1,0,3
4188824,DijkstraEccentricity,https://github.com/Cynicollision/DijkstraEccentricity,0,0,112,,https://api.github.com/repos/Cynicollision/DijkstraEccentricity,2012-05-01T01:48:03Z,1,0,2
11662564,dijkstraAlgorithm,https://github.com/litleleprikon/dijkstraAlgorithm,0,0,104,Python,https://api.github.com/repos/litleleprikon/dijkstraAlgorithm,2013-07-25T14:28:19Z,1,0,1
11857885,DijkstrasAlgorithm,https://github.com/bilalnurhusien/DijkstrasAlgorithm,0,0,196,C++,https://api.github.com/repos/bilalnurhusien/DijkstrasAlgorithm,2013-08-03T04:34:36Z,1,0,28
12636175,DijkstraMap,https://github.com/reinh/DijkstraMap,0,1,4448,Haskell,https://api.github.com/repos/reinh/DijkstraMap,2013-09-06T04:57:01Z,0,0,8
13874196,DijkstrasAlgorithm,https://github.com/fernando-barajas/DijkstrasAlgorithm,0,0,100,Ruby,https://api.github.com/repos/fernando-barajas/DijkstrasAlgorithm,2013-10-25T23:09:42Z,1,0,1
4363030,DijkstrasAlgorithm,https://github.com/TheWartek/DijkstrasAlgorithm,0,1,116,Java,https://api.github.com/repos/TheWartek/DijkstrasAlgorithm,2012-05-17T21:14:47Z,1,0,10
21407454,DijkstraProject,https://github.com/zbvyas/DijkstraProject,0,0,604,C++,https://api.github.com/repos/zbvyas/DijkstraProject,2014-07-02T01:23:51Z,1,0,1
19686296,DijkstraAlgorythm,https://github.com/YurBurGer/DijkstraAlgorythm,0,0,128,Java,https://api.github.com/repos/YurBurGer/DijkstraAlgorythm,2014-05-12T04:53:48Z,1,0,2
19215913,DijkstrasAlgorithm,https://github.com/NAVEENMN/DijkstrasAlgorithm,1,0,175,Python,https://api.github.com/repos/NAVEENMN/DijkstrasAlgorithm,2014-04-27T20:10:47Z,1,0,7
26201448,dijkstraProject,https://github.com/arobase-che/dijkstraProject,0,0,6016,Python,https://api.github.com/repos/arobase-che/dijkstraProject,2014-11-05T03:37:14Z,1,0,3
35252918,DijkstraAlgorithm,https://github.com/badstephbot/DijkstraAlgorithm,0,0,136,C++,https://api.github.com/repos/badstephbot/DijkstraAlgorithm,2015-05-08T01:50:48Z,1,0,3
37529832,DijkstraMethod,https://github.com/ValchukDmitry/DijkstraMethod,0,0,4468,JavaScript,https://api.github.com/repos/ValchukDmitry/DijkstraMethod,2015-06-16T12:52:50Z,2,0,81
51899483,DijkstraProject,https://github.com/Yuvely/DijkstraProject,0,0,2,C,https://api.github.com/repos/Yuvely/DijkstraProject,2016-02-17T06:13:09Z,1,0,1
51896532,DijkstraPrj,https://github.com/FoRTe21/DijkstraPrj,0,0,5,C,https://api.github.com/repos/FoRTe21/DijkstraPrj,2016-02-17T05:13:44Z,1,0,1
53204269,Dijkstra01,https://github.com/WoXinfeiyang/Dijkstra01,0,0,3,C,https://api.github.com/repos/WoXinfeiyang/Dijkstra01,2016-03-05T14:07:24Z,1,0,4
54277288,DijkstraProgram,https://github.com/shipbiulder101/DijkstraProgram,0,0,0,,https://api.github.com/repos/shipbiulder101/DijkstraProgram,2016-03-19T17:07:02Z,1,0,-1
56037114,DijkstraPath,https://github.com/nfinnity/DijkstraPath,0,0,640,C++,https://api.github.com/repos/nfinnity/DijkstraPath,2016-04-12T06:27:13Z,1,0,3
42612512,DijkstraCL,https://github.com/canautumn/DijkstraCL,0,1,344,C++,https://api.github.com/repos/canautumn/DijkstraCL,2015-09-16T20:47:36Z,1,0,11
56717733,dijkstraPython,https://github.com/maceduanderson/dijkstraPython,0,0,13,Python,https://api.github.com/repos/maceduanderson/dijkstraPython,2016-04-20T20:09:34Z,1,0,10
